"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"Dolichol-20","0.031 +/- 0.01","N/A","N/A","2.170E-04 g/L","9.62","1381.27821987"
"CE(18:1(11Z))","44.23 +/- 3.82 ","N/A","N/A","6.130E-06 g/L","10.68","650.60018174"
"CE(20:1(11Z))","0.053 (0-0.107)","N/A","N/A","6.400E-06 g/L","10.91","678.631481868"
"(R)-Salsolinol","0.0022 +/- 0.0015","N/A","N/A","6.71 g/L","0.16","179.094628665"
"TG(16:0/16:0/18:0)","11.6 +/- 2.8","N/A","N/A","1.100E-05 g/L","10.63","834.767641004"
"TG(16:0/16:0/16:1(9Z))","27.0 +/- 2.9","N/A","N/A","1.150E-05 g/L","10.62","804.720690811"
"TG(16:0/16:0/18:1(9Z))","63.6 +/- 1.8","N/A","N/A","1.090E-05 g/L","10.68","832.75199094"
"TG(16:0/16:0/20:1(11Z))","29.6 +/- 1.9","N/A","N/A","1.090E-05 g/L","10.70","860.783291069"
"TG(16:0/16:0/18:2(9Z,12Z))","79.8 +/- 8.9","N/A","N/A","7.270E-06 g/L","10.72","830.736340876"
"TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))","90.9 +/- 9.6","N/A","N/A","6.590E-06 g/L","10.82","854.736340876"
"TG(16:0/18:0/18:1(9Z))","29.6 +/- 1.9","N/A","N/A","1.100E-05 g/L","10.71","860.783291069"
"TG(16:0/18:0/18:2(9Z,12Z))","139.5 +/- 10.0","N/A","N/A","7.650E-06 g/L","10.76","858.767641004"
"TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))","68.5 +/- 10.3","N/A","N/A","6.810E-06 g/L","10.88","882.767641004"
"TG(16:0/16:1(9Z)/18:0)","63.6 +/- 1.8","N/A","N/A","1.080E-05 g/L","10.69","832.75199094"
"TG(16:0/16:1(9Z)/20:0)","29.6 +/- 1.9","N/A","N/A","1.100E-05 g/L","10.71","860.783291069"
"TG(16:0/16:1(9Z)/16:1(9Z))","20.2 +/- 4.1","N/A","N/A","7.520E-06 g/L","10.67","802.705040747"
"TG(16:0/16:1(9Z)/18:1(9Z))","79.8 +/- 8.9","N/A","N/A","7.270E-06 g/L","10.72","830.736340876"
"TG(16:0/16:1(9Z)/20:1(11Z))","139.5 +/- 10.0","N/A","N/A","7.690E-06 g/L","10.74","858.767641004"
