"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"PC(18:0/24:1(15Z))","0.32 +/- 0.08","N/A","N/A","1.920E-05 g/L","6.60","871.703005629"
"PC(18:0/P-18:0)","1.55 (1.27-1.89)","N/A","N/A","1.990E-05 g/L","6.29","773.629840687"
"PC(18:0/P-18:1(11Z))","19.8 (16.9-22.8)","N/A","N/A","2.470E-05 g/L","6.26","771.614190623"
"PC(18:0/P-18:1(9Z))","19.8 (16.9-22.8)","N/A","N/A","2.470E-05 g/L","6.26","771.614190623"
"PC(18:1(11Z)/14:0)","16.6 +/- 7.90","N/A","N/A","2.650E-05 g/L","5.25","731.546504989"
"PC(18:1(11Z)/14:1(9Z))","4.02 +/- 1.47","N/A","N/A","2.900E-05 g/L","5.12","729.530854925"
"PC(18:1(11Z)/16:0)","242.2 +/- 51.3","N/A","N/A","2.060E-05 g/L","5.58","759.577805117"
"PC(18:1(11Z)/16:1(9Z))","84.2 (71.2-101)","N/A","N/A","2.540E-05 g/L","5.44","757.562155053"
"PC(18:1(11Z)/18:0)","19.8 (16.9-22.8)","N/A","N/A","1.920E-05 g/L","5.88","787.609105245"
"PC(18:1(11Z)/18:1(11Z))","44.5 (37.6-53.3)","N/A","N/A","2.230E-05 g/L","5.75","785.593455181"
"PC(18:1(11Z)/18:1(9Z))","44.5 (37.6-53.3)","N/A","N/A","2.220E-05 g/L","5.77","785.593455181"
"PC(18:1(11Z)/18:2(9Z,12Z))","63.7 (53.6-73.5)","N/A","N/A","2.620E-05 g/L","5.73","783.577805117"
"PC(18:1(11Z)/18:3(6Z,9Z,12Z))","135 (118-151)","N/A","N/A","3.060E-05 g/L","5.71","781.562155053"
"PC(18:1(11Z)/18:3(9Z,12Z,15Z))","135 (118-151)","N/A","N/A","3.170E-05 g/L","5.69","781.562155053"
"PC(18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","5.2 (4.18-6.71)","N/A","N/A","3.100E-05 g/L","5.56","779.546504989"
"PC(18:1(11Z)/20:0)","1.23 +/- 0.46","N/A","N/A","1.900E-05 g/L","6.19","815.640405373"
"PC(18:1(11Z)/20:2(11Z,14Z))","47.3 +/- 11.3","N/A","N/A","2.350E-05 g/L","6.01","811.609105245"
"PC(18:1(11Z)/20:3(5Z,8Z,11Z))","90.4 (78.8-104)","N/A","N/A","2.840E-05 g/L","6.04","809.593455181"
"PC(18:1(11Z)/20:3(8Z,11Z,14Z))","90.4 (78.8-104)","N/A","N/A","2.890E-05 g/L","6.01","809.593455181"
"PC(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))","21.8 (18.8-25.2)","N/A","N/A","2.840E-05 g/L","5.91","807.577805117"
"PC(18:1(11Z)/20:4(8Z,11Z,14Z,17Z))","21.8 (18.8-25.2)","N/A","N/A","2.850E-05 g/L","5.89","807.577805117"
"PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","60.6 (50.1-72.9 )","N/A","N/A","3.090E-05 g/L","5.75","805.562155053"
"PC(18:1(11Z)/22:0)","0.45 (0.30-1.42)","N/A","N/A","1.660E-05 g/L","6.42","843.671705501"
"PC(18:1(11Z)/22:1(13Z))","0.36 (0.05-1.88)","N/A","N/A","2.360E-05 g/L","6.36","841.656055437"
"PC(18:1(11Z)/22:2(13Z,16Z))","0.47 (0.01-1.41)","N/A","N/A","2.270E-05 g/L","6.28","839.640405373"
"PC(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.27","835.609105245"
"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))","27.8 +/- 8.8","N/A","N/A","2.950E-05 g/L","6.16","833.593455181"
"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","27.8 +/- 8.8","N/A","N/A","2.970E-05 g/L","6.09","833.593455181"
"PC(18:1(11Z)/24:0)","0.32 +/- 0.08","N/A","N/A","1.920E-05 g/L","6.61","871.703005629"
"PC(18:1(11Z)/24:1(15Z))","0.25 +/- 0.07","N/A","N/A","2.100E-05 g/L","6.60","869.687355565"
"PC(18:1(11Z)/P-16:0)","242.2 +/- 51.3","N/A","N/A","2.330E-05 g/L","5.97","743.582890495"
"PC(18:1(11Z)/P-18:0)","19.8 (16.9-22.8)","N/A","N/A","2.470E-05 g/L","6.25","771.614190623"
"PC(18:1(11Z)/P-18:1(11Z))","44.5 (37.6-53.3)","N/A","N/A","2.570E-05 g/L","6.17","769.598540559"
"PC(18:1(11Z)/P-18:1(9Z))","44.5 (37.6-53.3)","N/A","N/A","2.570E-05 g/L","6.17","769.598540559"
"PC(18:1(9Z)/14:0)","16.6 +/- 7.90","N/A","N/A","2.660E-05 g/L","5.26","731.546504989"
"PC(18:1(9Z)/14:1(9Z))","4.02 +/- 1.47","N/A","N/A","2.900E-05 g/L","5.13","729.530854925"
"PC(18:1(9Z)/16:0)","242.2 +/- 51.3","N/A","N/A","2.060E-05 g/L","5.59","759.577805117"
"PC(18:1(9Z)/16:1(9Z))","413.3 +/- 69.2","N/A","N/A","2.520E-05 g/L","5.45","757.562155053"
"PC(18:1(9Z)/18:0)","19.8 (16.9-22.8)","N/A","N/A","1.930E-05 g/L","5.88","787.609105245"
"PC(18:1(9Z)/18:1(11Z))","267.03(66.1)","N/A","N/A","2.220E-05 g/L","5.77","785.593455181"
"PC(18:1(9Z)/18:2(9Z,12Z))","165.5(44.39)","N/A","N/A","2.620E-05 g/L","5.74","783.577805117"
"PC(18:1(9Z)/18:3(6Z,9Z,12Z))","228.74(50.69)","N/A","N/A","3.150E-05 g/L","5.72","781.562155053"
"PC(18:1(9Z)/18:3(9Z,12Z,15Z))","228.74(50.69)","N/A","N/A","3.160E-05 g/L","5.69","781.562155053"
"PC(18:1(9Z)/18:4(6Z,9Z,12Z,15Z))","46.61(21.41)","N/A","N/A","3.090E-05 g/L","8.08","779.546504989"
"PC(18:1(9Z)/20:0)","1.23 +/- 0.46","N/A","N/A","1.890E-05 g/L","6.20","815.640405373"
"PC(18:1(9Z)/20:2(11Z,14Z))","62.34(20.77)","N/A","N/A","2.350E-05 g/L","6.01","811.609105245"
"PC(18:1(9Z)/20:3(5Z,8Z,11Z))","147.79(39.15)","N/A","N/A","2.840E-05 g/L","6.04","809.593455181"
"PC(18:1(9Z)/20:3(8Z,11Z,14Z))","147.79(39.15)","N/A","N/A","2.890E-05 g/L","6.02","809.593455181"
"PC(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","81.9(19.68)","N/A","N/A","2.840E-05 g/L","5.93","807.577805117"
"PC(18:1(9Z)/20:4(8Z,11Z,14Z,17Z))","81.9(19.68)","N/A","N/A","2.840E-05 g/L","5.90","807.577805117"
"PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","103.41(31.68)","N/A","N/A","3.090E-05 g/L","5.75","805.562155053"
"PC(18:1(9Z)/22:0)","0.44(0.12)","N/A","N/A","1.660E-05 g/L","6.42","843.671705501"
"PC(18:1(9Z)/22:1(13Z))","0.36 (0.05-1.88)","N/A","N/A","2.360E-05 g/L","6.37","841.656055437"
"PC(18:1(9Z)/22:2(13Z,16Z))","0.47 (0.01-1.41)","N/A","N/A","2.250E-05 g/L","6.29","839.640405373"
"PC(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.28","835.609105245"
"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))","27.8 +/- 8.8","N/A","N/A","2.970E-05 g/L","6.16","833.593455181"
"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","27.8 +/- 8.8","N/A","N/A","2.960E-05 g/L","6.09","833.593455181"
"PC(18:1(9Z)/24:0)","0.32 +/- 0.08","N/A","N/A","1.920E-05 g/L","6.62","871.703005629"
"PC(18:1(9Z)/24:1(15Z))","0.25 +/- 0.07","N/A","N/A","2.100E-05 g/L","6.61","869.687355565"
"PC(18:1(9Z)/P-16:0)","242.2 +/- 51.3","N/A","N/A","2.330E-05 g/L","5.97","743.582890495"
"PC(18:1(9Z)/P-18:0)","60.62(19.39)","N/A","N/A","2.470E-05 g/L","6.26","771.614190623"
"PC(18:1(9Z)/P-18:1(11Z))","267.03(66.1)","N/A","N/A","2.570E-05 g/L","6.17","769.598540559"
"PC(18:1(9Z)/P-18:1(9Z))","267.03(66.1)","N/A","N/A","2.570E-05 g/L","6.17","769.598540559"
"PC(18:2(9Z,12Z)/14:0)","4.02 +/- 1.47","N/A","N/A","2.880E-05 g/L","5.13","729.530854925"
"PC(18:2(9Z,12Z)/14:1(9Z))","0.49 +/- 0.12","N/A","N/A","3.240E-05 g/L","4.97","727.515204861"
"PC(18:2(9Z,12Z)/16:0)","409.32(87.37)","N/A","N/A","2.530E-05 g/L","5.48","757.562155053"
"PC(18:2(9Z,12Z)/16:1(9Z))","25.87(9.06)","N/A","N/A","2.960E-05 g/L","5.40","755.546504989"
"PC(18:2(9Z,12Z)/18:0)","267.03(66.1)","N/A","N/A","2.220E-05 g/L","5.80","785.593455181"
"PC(18:2(9Z,12Z)/18:1(11Z))","165.5(44.39)","N/A","N/A","2.620E-05 g/L","5.72","783.577805117"
"PC(18:2(9Z,12Z)/18:1(9Z))","165.5(44.39)","N/A","N/A","2.620E-05 g/L","5.73","783.577805117"
"PC(18:2(9Z,12Z)/18:2(9Z,12Z))","228.74(50.69)","N/A","N/A","3.160E-05 g/L","5.68","781.562155053"
"PC(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))","81.9(19.68)","N/A","N/A","2.840E-05 g/L","5.91","807.577805117"
"PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))","46.61(21.41)","N/A","N/A","3.110E-05 g/L","5.56","779.546504989"
"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))","46.61(21.41)","N/A","N/A","3.080E-05 g/L","5.53","779.546504989"
"PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))","1.16 +/- 0.47","N/A","N/A","3.330E-05 g/L","5.37","777.530854925"
"PC(18:2(9Z,12Z)/20:1(11Z))","47.3 +/- 11.3","N/A","N/A","2.340E-05 g/L","6.01","811.609105245"
"PC(18:2(9Z,12Z)/20:2(11Z,14Z))","147.79(39.15)","N/A","N/A","2.900E-05 g/L","5.99","809.593455181"
"PC(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))","81.9(19.68)","N/A","N/A","2.850E-05 g/L","5.89","807.577805117"
"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","103.41(31.68)","N/A","N/A","3.100E-05 g/L","5.73","805.562155053"
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))","103.41(31.68)","N/A","N/A","3.110E-05 g/L","5.70","805.562155053"
"PC(18:2(9Z,12Z)/22:0)","0.36 (0.05-1.88)","N/A","N/A","2.230E-05 g/L","6.41","841.656055437"
"PC(18:2(9Z,12Z)/22:1(13Z))","0.47 (0.01-1.41)","N/A","N/A","2.240E-05 g/L","6.30","839.640405373"
"PC(18:2(9Z,12Z)/22:2(13Z,16Z))","4.16(1.34)","N/A","N/A","2.730E-05 g/L","6.29","837.624755309"
"PC(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","27.8 +/- 8.8","N/A","N/A","2.980E-05 g/L","6.08","833.593455181"
"PC(18:2(9Z,12Z)/24:0)","0.25 +/- 0.07","N/A","N/A","2.090E-05 g/L","6.65","869.687355565"
"PC(18:2(9Z,12Z)/P-16:0)","413.3 +/- 69.2","N/A","N/A","2.610E-05 g/L","5.87","741.567240431"
"PC(18:2(9Z,12Z)/P-18:0)","267.03(66.1)","N/A","N/A","2.350E-05 g/L","6.19","769.598540559"
"PC(18:2(9Z,12Z)/P-18:1(11Z))","165.5(44.39)","N/A","N/A","3.050E-05 g/L","6.10","767.582890495"
"PC(18:2(9Z,12Z)/P-18:1(9Z))","165.5(44.39)","N/A","N/A","3.060E-05 g/L","6.10","767.582890495"
"PC(18:3(6Z,9Z,12Z)/14:0)","0.49 +/- 0.12","N/A","N/A","3.220E-05 g/L","5.02","727.515204861"
"PC(18:3(6Z,9Z,12Z)/16:0)","15.9 +/- 4.61","N/A","N/A","2.940E-05 g/L","5.46","755.546504989"
"PC(18:3(6Z,9Z,12Z)/16:1(9Z))","1.87 +/- 0.66","N/A","N/A","3.240E-05 g/L","5.32","753.530854925"
"PC(18:3(6Z,9Z,12Z)/18:0)","165.5(44.39)","N/A","N/A","2.750E-05 g/L","5.79","783.577805117"
"PC(18:3(6Z,9Z,12Z)/18:1(11Z))","228.74(50.69)","N/A","N/A","3.170E-05 g/L","5.71","781.562155053"
"PC(18:3(6Z,9Z,12Z)/18:1(9Z))","228.74(50.69)","N/A","N/A","3.160E-05 g/L","5.71","781.562155053"
"PC(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))","46.61(21.41)","N/A","N/A","3.110E-05 g/L","5.56","779.546504989"
"PC(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))","1.16 +/- 0.47","N/A","N/A","3.350E-05 g/L","5.39","777.530854925"
"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","1.16 +/- 0.47","N/A","N/A","3.330E-05 g/L","5.37","777.530854925"
"PC(18:3(6Z,9Z,12Z)/20:0)","47.3 +/- 11.3","N/A","N/A","2.330E-05 g/L","6.08","811.609105245"
"PC(18:3(6Z,9Z,12Z)/20:1(11Z))","101.6 +/- 22.6","N/A","N/A","2.870E-05 g/L","6.04","809.593455181"
"PC(18:3(6Z,9Z,12Z)/20:2(11Z,14Z))","54.2 +/- 13.2","N/A","N/A","2.840E-05 g/L","5.90","807.577805117"
"PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))","103.41(31.68)","N/A","N/A","3.090E-05 g/L","5.78","805.562155053"
"PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))","103.41(31.68)","N/A","N/A","3.100E-05 g/L","5.72","805.562155053"
"PC(18:3(6Z,9Z,12Z)/22:0)","0.47 (0.01-1.41)","N/A","N/A","1.910E-05 g/L","6.37","839.640405373"
"PC(18:3(6Z,9Z,12Z)/22:1(13Z))","4.16(1.34)","N/A","N/A","2.710E-05 g/L","N/A","837.624755309"
"PC(18:3(6Z,9Z,12Z)/22:2(13Z,16Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.27","835.609105245"
"PC(18:3(6Z,9Z,12Z)/24:1(15Z))","0.18 +/- 0.04","N/A","N/A","2.740E-05 g/L","6.58","865.656055437"
"PC(18:3(6Z,9Z,12Z)/P-16:0)","15.9 +/- 4.61","N/A","N/A","3.450E-05 g/L","5.83","739.551590367"
"PC(18:3(6Z,9Z,12Z)/P-18:0)","165.5(44.39)","N/A","N/A","3.090E-05 g/L","6.17","767.582890495"
"PC(18:3(6Z,9Z,12Z)/P-18:1(11Z))","228.74(50.69)","N/A","N/A","3.480E-05 g/L","6.05","765.567240431"
"PC(18:3(6Z,9Z,12Z)/P-18:1(9Z))","228.74(50.69)","N/A","N/A","3.480E-05 g/L","6.06","765.567240431"
"PC(18:3(9Z,12Z,15Z)/14:0)","0.49 +/- 0.12","N/A","N/A","3.210E-05 g/L","5.00","727.515204861"
"PC(18:3(9Z,12Z,15Z)/16:0)","15.9 +/- 4.61","N/A","N/A","2.920E-05 g/L","5.43","755.546504989"
"PC(18:3(9Z,12Z,15Z)/16:1(9Z))","1.87 +/- 0.66","N/A","N/A","3.230E-05 g/L","5.29","753.530854925"
"PC(18:3(9Z,12Z,15Z)/18:0)","165.5(44.39)","N/A","N/A","2.610E-05 g/L","5.76","783.577805117"
"PC(18:3(9Z,12Z,15Z)/18:1(11Z))","228.74(50.69)","N/A","N/A","3.170E-05 g/L","5.68","781.562155053"
"PC(18:3(9Z,12Z,15Z)/18:1(9Z))","228.74(50.69)","N/A","N/A","3.160E-05 g/L","5.69","781.562155053"
"PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))","46.61(21.41)","N/A","N/A","3.080E-05 g/L","5.53","779.546504989"
"PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))","1.16 +/- 0.47","N/A","N/A","3.330E-05 g/L","5.37","777.530854925"
"PC(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))","1.16 +/- 0.47","N/A","N/A","3.620E-05 g/L","5.34","777.530854925"
"PC(18:3(9Z,12Z,15Z)/20:0)","47.3 +/- 11.3","N/A","N/A","2.340E-05 g/L","6.06","811.609105245"
"PC(18:3(9Z,12Z,15Z)/20:1(11Z))","101.6 +/- 22.6","N/A","N/A","2.880E-05 g/L","6.01","809.593455181"
"PC(18:3(9Z,12Z,15Z)/20:2(11Z,14Z))","54.2 +/- 13.2","N/A","N/A","2.850E-05 g/L","5.88","807.577805117"
"PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))","88.0 +/- 25.0","N/A","N/A","3.090E-05 g/L","5.75","805.562155053"
"PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))","88.0 +/- 25.0","N/A","N/A","3.110E-05 g/L","5.70","805.562155053"
"PC(18:3(9Z,12Z,15Z)/22:0)","0.47 (0.01-1.41)","N/A","N/A","2.200E-05 g/L","6.35","839.640405373"
"PC(18:3(9Z,12Z,15Z)/22:1(13Z))","2.59 (2.16-3.19)","N/A","N/A","2.720E-05 g/L","6.32","837.624755309"
"PC(18:3(9Z,12Z,15Z)/22:2(13Z,16Z))","13.85(4.15)","N/A","N/A","2.790E-05 g/L","6.26","835.609105245"
"PC(18:3(9Z,12Z,15Z)/24:1(15Z))","0.18 +/- 0.04","N/A","N/A","2.500E-05 g/L","6.55","865.656055437"
"PC(18:3(9Z,12Z,15Z)/P-16:0)","15.9 +/- 4.61","N/A","N/A","3.460E-05 g/L","5.82","739.551590367"
"PC(18:3(9Z,12Z,15Z)/P-18:0)","63.7 (53.6-73.5)","N/A","N/A","3.140E-05 g/L","6.13","767.582890495"
"PC(18:3(9Z,12Z,15Z)/P-18:1(11Z))","135 (118-151)","N/A","N/A","3.490E-05 g/L","6.03","765.567240431"
"PC(18:3(9Z,12Z,15Z)/P-18:1(9Z))","135 (118-151)","N/A","N/A","3.480E-05 g/L","6.04","765.567240431"
"PC(18:4(6Z,9Z,12Z,15Z)/16:0)","1.87 +/- 0.66","N/A","N/A","3.190E-05 g/L","5.34","753.530854925"
"PC(18:4(6Z,9Z,12Z,15Z)/18:0)","135 (118-151)","N/A","N/A","3.080E-05 g/L","5.75","781.562155053"
"PC(18:4(6Z,9Z,12Z,15Z)/18:1(11Z))","5.2 (4.18-6.71)","N/A","N/A","3.100E-05 g/L","5.56","779.546504989"
"PC(18:4(6Z,9Z,12Z,15Z)/18:1(9Z))","5.2 (4.18-6.71)","N/A","N/A","3.090E-05 g/L","5.56","779.546504989"
"PC(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z))","1.16 +/- 0.47","N/A","N/A","3.330E-05 g/L","5.37","777.530854925"
"PC(18:4(6Z,9Z,12Z,15Z)/20:0)","101.6 +/- 22.6","N/A","N/A","2.820E-05 g/L","6.05","809.593455181"
"PC(18:4(6Z,9Z,12Z,15Z)/20:1(11Z))","54.2 +/- 13.2","N/A","N/A","2.830E-05 g/L","5.92","807.577805117"
"PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))","88.0 +/- 25.0","N/A","N/A","3.080E-05 g/L","5.71","805.562155053"
"PC(18:4(6Z,9Z,12Z,15Z)/22:0)","2.59 (2.16-3.19)","N/A","N/A","2.670E-05 g/L","6.37","837.624755309"
"PC(18:4(6Z,9Z,12Z,15Z)/22:1(13Z))","13.85(4.15)","N/A","N/A","2.750E-05 g/L","6.29","835.609105245"
"PC(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))","27.8 +/- 8.8","N/A","N/A","2.960E-05 g/L","6.09","833.593455181"
"PC(18:4(6Z,9Z,12Z,15Z)/24:0)","0.18 +/- 0.04","N/A","N/A","2.670E-05 g/L","6.62","865.656055437"
"PC(18:4(6Z,9Z,12Z,15Z)/24:1(15Z))","0.10-1.10","N/A","N/A","2.940E-05 g/L","6.60","863.640405373"
"PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)","1.87 +/- 0.66","N/A","N/A","3.660E-05 g/L","5.72","737.535940303"
"PC(18:4(6Z,9Z,12Z,15Z)/P-18:0)","135 (118-151)","N/A","N/A","3.400E-05 g/L","6.09","765.567240431"
"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))","5.2 (4.18-6.71)","N/A","N/A","3.750E-05 g/L","5.96","763.551590367"
"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))","5.2 (4.18-6.71)","N/A","N/A","3.980E-05 g/L","5.96","763.551590367"
"PC(20:0/14:1(9Z))","242.2 +/- 51.3","N/A","N/A","2.050E-05 g/L","5.61","759.577805117"
"PC(20:0/16:0)","2.52 +/- 0.89","N/A","N/A","2.160E-05 g/L","5.92","789.624755309"
"PC(20:0/16:1(9Z))","57.1 +/- 13.5","N/A","N/A","1.940E-05 g/L","5.90","787.609105245"
"PC(20:0/18:0)","3.48 +/- 0.95","N/A","N/A","1.710E-05 g/L","6.14","817.656055437"
"PC(20:0/18:1(11Z))","1.23 +/- 0.46","N/A","N/A","1.900E-05 g/L","6.20","815.640405373"
"PC(20:0/18:1(9Z))","1.23 +/- 0.46","N/A","N/A","1.890E-05 g/L","6.21","815.640405373"
"PC(20:0/18:3(6Z,9Z,12Z))","47.3 +/- 11.3","N/A","N/A","2.330E-05 g/L","6.08","811.609105245"
"PC(20:0/18:3(9Z,12Z,15Z))","47.3 +/- 11.3","N/A","N/A","2.340E-05 g/L","6.06","811.609105245"
"PC(20:0/18:4(6Z,9Z,12Z,15Z))","101.6 +/- 22.6","N/A","N/A","2.820E-05 g/L","6.07","809.593455181"
"PC(20:0/20:1(11Z))","0.45 (0.30-1.42)","N/A","N/A","1.660E-05 g/L","6.41","843.671705501"
"PC(20:0/20:2(11Z,14Z))","0.36 (0.05-1.88)","N/A","N/A","2.350E-05 g/L","6.39","841.656055437"
"PC(20:0/20:3(5Z,8Z,11Z))","0.47 (0.01-1.41)","N/A","N/A","1.920E-05 g/L","6.40","839.640405373"
"PC(20:0/20:3(8Z,11Z,14Z))","0.47 (0.01-1.41)","N/A","N/A","2.110E-05 g/L","6.34","839.640405373"
"PC(20:0/20:4(5Z,8Z,11Z,14Z))","2.59 (2.16-3.19)","N/A","N/A","2.660E-05 g/L","6.38","837.624755309"
"PC(20:0/20:4(8Z,11Z,14Z,17Z))","3 (2.41-3.61)","N/A","N/A","2.700E-05 g/L","6.33","837.624755309"
"PC(20:0/20:5(5Z,8Z,11Z,14Z,17Z))","13.85(4.15)","N/A","N/A","2.730E-05 g/L","6.35","835.609105245"
"PC(20:0/22:0)","0.55 (0.47-0.65)","N/A","N/A","1.850E-05 g/L","6.61","873.718655693"
"PC(20:0/22:1(13Z))","0.27 (0.22-0.33)","N/A","N/A","2.120E-05 g/L","6.60","871.703005629"
"PC(20:0/22:2(13Z,16Z))","0.2 (0.17-0.24)","N/A","N/A","2.090E-05 g/L","6.62","869.687355565"
"PC(20:0/22:4(7Z,10Z,13Z,16Z))","0.2 (0.17-0.23)","N/A","N/A","2.710E-05 g/L","6.59","865.656055437"
"PC(20:0/22:5(4Z,7Z,10Z,13Z,16Z))","0.45(0.13)","N/A","N/A","2.780E-05 g/L","6.65","863.640405373"
"PC(20:0/22:5(7Z,10Z,13Z,16Z,19Z))","0.45(0.13)","N/A","N/A","2.920E-05 g/L","6.61","863.640405373"
"PC(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.79(0.16)","N/A","N/A","2.900E-05 g/L","6.54","861.624755309"
"PC(20:0/P-16:0)","3.14(1.2)","N/A","N/A","1.990E-05 g/L","6.29","773.629840687"
"PC(20:0/P-18:0)","2.21 (1.85-2.71)","N/A","N/A","1.860E-05 g/L","6.54","801.661140815"
"PC(20:0/P-18:1(11Z))","1.23 +/- 0.46","N/A","N/A","2.100E-05 g/L","6.52","799.645490751"
"PC(20:0/P-18:1(9Z))","1.23 +/- 0.46","N/A","N/A","2.100E-05 g/L","6.53","799.645490751"
"PC(20:1(11Z)/14:0)","173 (145-199)","N/A","N/A","2.060E-05 g/L","5.58","759.577805117"
"PC(20:1(11Z)/14:1(9Z))","409.32(87.37)","N/A","N/A","2.530E-05 g/L","5.46","757.562155053"
"PC(20:1(11Z)/16:0)","40.80 (33.8-47.9)","N/A","N/A","1.920E-05 g/L","5.88","787.609105245"
"PC(20:1(11Z)/16:1(9Z))","212 (183-244)","N/A","N/A","2.220E-05 g/L","5.77","785.593455181"
"PC(20:1(11Z)/18:0)","1.23 +/- 0.46","N/A","N/A","2.070E-05 g/L","6.18","815.640405373"
"PC(20:1(11Z)/18:2(9Z,12Z))","32.8 (26.5-38.5)","N/A","N/A","2.340E-05 g/L","6.02","811.609105245"
"PC(20:1(11Z)/18:3(6Z,9Z,12Z))","76.6 (65.9-90.8)","N/A","N/A","2.870E-05 g/L","6.04","809.593455181"
"PC(20:1(11Z)/18:3(9Z,12Z,15Z))","76.6 (65.9-90.8)","N/A","N/A","2.880E-05 g/L","6.01","809.593455181"
"PC(20:1(11Z)/18:4(6Z,9Z,12Z,15Z))","36.2 (28.8-42.9)","N/A","N/A","2.820E-05 g/L","5.91","807.577805117"
"PC(20:1(11Z)/20:0)","0.39 (0.33-0.45)","N/A","N/A","1.660E-05 g/L","6.41","843.671705501"
"PC(20:1(11Z)/20:1(11Z))","0.29 (0.25-0.35)","N/A","N/A","2.360E-05 g/L","6.37","841.656055437"
"PC(20:1(11Z)/20:2(11Z,14Z))","0.49 (0.43-0.58)","N/A","N/A","2.270E-05 g/L","6.29","839.640405373"
"PC(20:1(11Z)/20:3(5Z,8Z,11Z))","3 (2.41-3.61)","N/A","N/A","2.700E-05 g/L","6.35","837.624755309"
"PC(20:1(11Z)/20:3(8Z,11Z,14Z))","3 (2.41-3.61)","N/A","N/A","2.720E-05 g/L","6.31","837.624755309"
"PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","13.85(4.15)","N/A","N/A","2.750E-05 g/L","6.31","835.609105245"
"PC(20:1(11Z)/20:4(8Z,11Z,14Z,17Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.27","835.609105245"
"PC(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","27.8 +/- 8.8","N/A","N/A","2.940E-05 g/L","6.14","833.593455181"
"PC(20:1(11Z)/22:0)","0.27 (0.22-0.33)","N/A","N/A","1.920E-05 g/L","6.60","871.703005629"
"PC(20:1(11Z)/22:1(13Z))","0.2 (0.17-0.24)","N/A","N/A","2.100E-05 g/L","6.60","869.687355565"
"PC(20:1(11Z)/22:4(7Z,10Z,13Z,16Z))","0.39 (0.32-0.47)","N/A","N/A","2.770E-05 g/L","6.57","863.640405373"
"PC(20:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))","0.61 (0.51-0.71)","N/A","N/A","2.920E-05 g/L","6.50","861.624755309"
"PC(20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","0.61 (0.51-0.71)","N/A","N/A","2.920E-05 g/L","6.43","861.624755309"
"PC(20:1(11Z)/P-16:0)","40.80 (33.8-47.9)","N/A","N/A","2.470E-05 g/L","6.26","771.614190623"
"PC(20:1(11Z)/P-18:0)","1.23 +/- 0.46","N/A","N/A","2.100E-05 g/L","6.52","799.645490751"
